#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-04-29T23:08:58 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-04-29T23:08:58	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J%2FAJ%2F152%2F50&-out.all&-out.max=2000	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_51520050
#Name: J/AJ/152/50
#Title: Cosmicflows-3 catalog (CF3) (Tully+, 2016)
#INFO	ivoid=ivo://cds.vizier/j/aj/152/50	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/aj/152/50	    IVOID of underlying data collection
#INFO	creator=Tully R.B.	    First author or institution
#INFO	cites=bibcode:2016AJ....152...50T	    Article or Data origin sources
#INFO	journal=AJ	    Journal name
#INFO	original_date=2016	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/152/50	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.51520050	    Dataset identifier that can be used for citation
#INFO	publication_date=2018-08-24	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	G:	galactic
#Table	J_AJ_152_50_table2:
#Name: J/AJ/152/50/table2
#Title: Summary group properties
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	Nest	(I6)	[100001/400002]? 2MASS "nest" group identification (Tully 2015, Cat. J/AJ/149/171)	[ucd=meta.id]
#Column	o_<DM>	(I3)	[1/161] Number of galaxies in group with distance measures (N_d_^gp^)	[ucd=meta.number]
#Column	<DM>	(F5.2)	[18.4/38.5] Weighted average group distance modulus (<{mu}>^gp^)	[ucd=phot.mag.distMod]
#Column	e_<DM>	(F5.2)	[0.02/0.54] One standard deviation uncertainty in <DM> ({epsilon}_{mu}_^gp^)	[ucd=stat.error]
#Column	<Dist>	(F5.1)	[0/494.3] Luminosity distance to group; weighted average of distance moduli	[ucd=pos.distance;pos.heliocentric]
#Column	Abell	(A5)	Abell Cluster identification (ASxxx are from the southern supplement list)	[ucd=meta.id]
#Column	GName	(a9)	Alternative name for group or cluster	[ucd=meta.id]
#Column	Npv	(I3)	[1/197] Number of galaxies in group with positions and velocities in the 2MRS catalog (Huchra et al. 2012, Cat. J/ApJS/199/26) (N_v_)	[ucd=meta.number]
#Column	PGC1	(I7)	[14/9003164] Principal Galaxies Catalog identifier of brightest group member	[ucd=meta.id.assoc]
#Column	GLON	(F6.2)	Group Galactic longitude (Glon^gp^)	[ucd=pos.galactic.lon]
#Column	GLAT	(F6.2)	Group Galactic latitude (Glat^gp^)	[ucd=pos.galactic.lat]
#Column	SGLON	(F8.4)	Group Supergalactic longitude (SGL^gp^) (G1)	[ucd=pos.supergalactic.lon]
#Column	SGLAT	(F8.4)	Group Supergalactic latitude (SGB^gp^) (G1)	[ucd=pos.supergalactic.lat]
#Column	logLKs	(F5.2)	[0/14.43] Log summed Ks luminosity of group (LogL^gp^) (G2)	[ucd=phys.luminosity;em.IR.K]
#Column	CF	(F6.2)	[0/118.1] Luminosity selection function correction factor (cf)	[ucd=arith.factor]
#Column	sigP	(I4)	[0/2303] Projected velocity dispersion ({sigma}_p_) (G3)	[ucd=phys.veloc.dispersion]
#Column	R2t	(F7.4)	[0/84] Projected second turnaround radius (R_2t_) (G4)	[ucd=phys.size.radius]
#Column	<HV>	(I5)	[-376/29980] Group heliocentric velocity (V_h_^gp^)	[ucd=phys.veloc;pos.heliocentric]
#Column	<Vgsr>	(I5)	[-189/29883] Group velocity in Galactic standard of rest (V_gsr_^gp^) (G5)	[ucd=phys.veloc;pos.galactocentric]
#Column	<Vls>	(I5)	[-158/29882] Group velocity in Local Sheet standard of rest (Tully et al. 2008, Cat. J/ApJ/676/184) (V_ls_^gp^)	[ucd=phys.veloc;pos.lsr]
#Column	<Vcmb>	(I5)	[-669/29820] Group velocity in CMB standard of rest (Fixsen et al. 1996ApJ...473..576F) (V_cmb_^gp^)	[ucd=phys.veloc;pos.cmb]
#Column	<Vcmba>	(I5)	[-668/32110] Group velocity in CMB standard of rest, adjusted (V_mod_^gp^) (G6)	[ucd=phys.veloc;pos.cmb]
#Column	sigma	(I4)	[0/2401]? RMS group velocity dispersion (V_rms_)	[ucd=stat.stdev;phys.veloc.dispersion;pos.lg]
#Column	Mvir	(F9.3)	[0/29467] Group mass from virial theorem (M_12_^bw^) (G7)	[ucd=phys.mass]
#Column	Mlum	(F10.4)	[0/24401] Group mass from luminosity (M_12_^L^) (G8)	[ucd=phys.mass]
#Column	LDC	(I4)	[3/1538]? Low density group identifier (Crook et al. 2007, Cat. J/ApJ/655/790)	[ucd=meta.id]
#Column	HDC	(I4)	[2/1258]? High density group identifier (Crook et al. 2007, Cat. J/ApJ/655/790)	[ucd=meta.id]
#Column	2M++	(I4)	[0/4715]? Group identifier from 2MASS++ catalog (Lavaux & Hudson 2011, Cat. J/MNRAS/416/2840)	[ucd=meta.id]
#Column	MK2011	(I7)	[0/5067059] Group identifier from MK2011 catalog (Makarov & Karachentsev 2011, Cat. J/MNRAS/412/2498) (M&K)	[ucd=meta.id;meta.main]
#Column	Icnt	(I4)	[0/2941]? Internal reference identifier	[ucd=meta.id]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	_RA.icrs	(F8.4)	Right ascension (ICRS) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DE.icrs	(F8.4)	Declination (ICRS) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
recno	Nest	o_<DM>	<DM>	e_<DM>	<Dist>	Abell	GName	Npv	PGC1	GLON	GLAT	SGLON	SGLAT	logLKs	CF	sigP	R2t	<HV>	<Vgsr>	<Vls>	<Vcmb>	<Vcmba>	sigma	Mvir	Mlum	LDC	HDC	2M++	MK2011	Icnt	Simbad	_RA.icrs	_DE.icrs
    1337	108750	  2	35.02	 0.24	101.0	     	         	  1	  20542	184.99	+19.18	 32.3586	-41.0903	11.25	  1.70	 160	 0.4330	 7240	 7211	 7236	 7375	 7518	   0	    0.000	    8.1470	    	    	    	      0	   0	Simbad	109.0559	+32.9349
    1338	109177	  2	35.01	 0.35	100.5	     	         	  1	 964162	355.04	+33.79	142.9333	 34.4742	11.19	  1.76	 151	 0.4110	 7382	 7377	 7333	 7533	 7682	   0	    0.000	    6.9330	    	    	    	      0	   0	Simbad	234.8868	-11.5767
    1339	202606	  2	35.01	 0.35	100.2	     	         	  2	  66285	311.75	-32.17	211.6880	 -8.1055	11.83	  2.18	 266	 0.7230	 8770	 8614	 8559	 8764	 8965	  40	    0.000	   37.6000	    	    	    	      0	   0	Simbad	318.3259	-80.8323
    1340	202882	  2	35.01	 0.31	100.6	     	         	  2	3714616	269.04	-22.88	206.9000	-46.6214	11.76	  2.04	 250	 0.6790	 8620	 8385	 8331	 8739	 8939	  13	    0.000	   31.2000	 473	    	    	      0	   0	Simbad	103.1604	-59.0853
    1341	102998	  2	35.01	 0.28	100.7	     	         	  2	  52635	029.71	+64.21	 98.8379	 30.7465	10.93	  1.32	 120	 0.3250	 5276	 5340	 5327	 5462	 5541	  14	    0.000	    3.4530	    	    	    	      0	   0	Simbad	220.9900	+22.8800
    1342	200347	  2	35.00	 0.35	100.2	     	         	  6	  63541	003.84	-25.38	218.6782	 37.1532	11.72	  1.47	 242	 0.6560	 5949	 5971	 5948	 5793	 5881	 223	   48.667	   28.1330	1293	1068	4317	      0	   0	Simbad	295.7829	-35.9021
    1343	102889	  2	35.00	 0.35	100.0	     	         	  2	 910896	352.83	+30.19	147.7351	 33.6234	11.66	  1.72	 229	 0.6210	 7336	 7322	 7275	 7480	 7627	  23	    0.000	   24.0000	    	    	1682	      0	   0	Simbad	236.1663	-15.4398
    1344	202530	  2	35.00	 0.31	100.2	     	         	  2	  63192	333.48	-27.69	209.8877	 11.1301	11.79	  2.44	 257	 0.6970	 9321	 9227	 9179	 9270	 9495	  49	    0.000	   33.8670	    	    	4049	      0	   0	Simbad	291.1831	-62.9451
    1345	201263	  2	35.00	 0.28	100.0	     	         	  3	    354	103.00	-54.13	299.8794	 13.8586	11.72	  1.42	 242	 0.6560	 6207	 6343	 6398	 5846	 5936	  84	    0.000	   28.1330	    	    	    	      0	   0	Simbad	001.2509	+06.9350
    1346	107973	  2	35.00	 0.28	100.0	     	         	  1	  48036	315.31	+35.23	144.7642	  1.9639	11.39	  1.60	 181	 0.4920	 6720	 6586	 6518	 7006	 7136	   0	    0.000	   11.8670	    	    	    	      0	   0	Simbad	204.1480	-26.5541
    1347	202109	  2	34.99	 0.31	 99.4	     	         	  2	  18669	250.18	-24.62	222.3929	-61.4968	11.88	  2.22	 278	 0.7550	 9300	 9078	 9040	 9402	 9634	 110	    0.000	   42.9330	    	    	    	      0	   0	Simbad	093.4545	-42.8180
    1348	201113	  2	34.98	 0.35	 99.1	     	         	  3	  66807	051.77	-34.97	275.4537	 48.5025	12.00	  2.27	 309	 0.8400	 9055	 9218	 9250	 8725	 8925	 152	    0.000	   59.0670	    	    	3847	      0	   0	Simbad	321.9803	-01.4817
    1349	201275	  2	34.97	 0.35	 98.6	     	         	  3	  15126	200.98	-34.79	306.9123	-52.5689	11.97	  2.07	 301	 0.8170	 9119	 9033	 9051	 9053	 9268	  78	    0.000	   54.5330	    	    	3934	      0	   0	Simbad	066.7842	-06.2466
    1350	202813	  2	34.97	 0.35	 98.4	     	         	  2	  64442	354.36	-33.66	222.3525	 25.8933	10.89	  1.33	 116	 0.3150	 5197	 5182	 5154	 5043	 5110	  21	    0.000	    3.1200	1325	    	4306	      0	   0	Simbad	304.3834	-45.6108
    1351	206610	  2	34.97	 0.32	 98.6	     	         	  1	  67619	072.05	-29.73	302.0222	 46.8544	11.57	  1.71	 212	 0.5750	 7355	 7562	 7614	 7008	 7138	   0	    0.000	   18.9330	    	    	    	      0	   0	Simbad	328.5921	+15.1575
    1352	201595	  2	34.96	 0.35	 98.2	     	         	  4	  19592	274.70	-24.99	207.8683	-41.0844	12.07	  2.10	 329	 0.8930	 8752	 8523	 8467	 8855	 9061	 221	    0.000	   71.0670	 467	 405	    	      0	   0	Simbad	101.2757	-64.6010
    1353	207120	  2	34.96	 0.31	 98.0	     	         	  1	  69057	039.54	-56.91	265.2360	 26.4413	11.47	  1.77	 194	 0.5270	 7509	 7595	 7615	 7181	 7317	   0	    0.000	   14.5330	    	    	    	      0	   0	Simbad	337.8514	-19.0331
    1354	101073	  2	34.96	 0.28	 98.2	     	         	  3	  47855	334.65	+69.69	109.7951	 11.8697	11.79	  1.70	 258	 0.7000	 7110	 7083	 7047	 7398	 7542	 162	    0.000	   34.2670	 947	 794	2248	      0	   0	Simbad	203.5215	+09.4890
    1355	201969	  2	34.94	 0.35	 97.5	     	         	  2	  65978	031.27	-36.53	251.7760	 44.5757	11.72	  2.20	 242	 0.6560	 8761	 8869	 8880	 8477	 8665	 136	    0.000	   28.1330	1375	    	3833	      0	   0	Simbad	315.7351	-16.9874
    1356	205702	  2	34.94	 0.28	 97.3	     	         	  1	   7965	149.42	-45.71	314.3932	-12.7968	11.77	  1.70	 252	 0.6850	 7455	 7532	 7589	 7185	 7321	   0	    0.000	   32.1330	    	    	    	      0	   0	Simbad	031.5232	+13.2872
    1357	200486	  2	34.94	 0.28	 97.1	     	         	  5	  71234	100.61	-29.77	321.6282	 27.4906	11.70	  1.38	 237	 0.6440	 6010	 6219	 6289	 5667	 5752	 180	   12.413	   26.6670	1503	1234	4234	      0	   0	Simbad	350.6638	+29.2248
    1358	109001	  2	34.94	 0.26	 97.3	     	         	  1	3824494	325.47	+30.03	150.5452	 10.1599	11.23	  1.68	 157	 0.4250	 7056	 6944	 6878	 7297	 7438	   0	    0.000	    7.7070	 993	    	    	      0	   0	Simbad	215.1371	-28.9124
    1359	201337	  2	34.93	 0.35	 96.8	     	         	  3	 135879	071.72	-54.83	285.2658	 25.5660	12.08	  2.44	 332	 0.9010	 9664	 9798	 9840	 9299	 9526	  48	    0.000	   72.9330	1491	1224	    	      0	   0	Simbad	346.1430	-02.9581
    1360	103144	  2	34.93	 0.35	 96.6	     	         	  2	4077681	021.48	+13.91	161.3750	 63.4390	11.61	  1.83	 219	 0.5950	 7938	 8039	 8025	 7894	 8058	   3	    0.000	   20.9330	    	    	    	      0	   0	Simbad	265.2571	-03.5491
    1361	107937	  2	34.93	 0.31	 96.9	     	         	  1	 569040	295.23	+20.25	156.2228	-18.2587	11.41	  1.60	 183	 0.4970	 6651	 6445	 6369	 6945	 7073	   0	    0.000	   12.2400	    	    	    	      0	   0	Simbad	183.1126	-42.0380
    1362	102372	  2	34.92	 0.35	 96.6	     	         	  2	3807948	311.82	+31.85	147.7490	 -1.3540	12.03	  2.81	 317	 0.8610	10159	10011	 9940	10447	10733	  80	    0.000	   63.6000	    	    	    	      0	   0	Simbad	201.6132	-30.4167
    1363	200546	  2	34.92	 0.35	 96.4	     	         	  5	  13199	205.14	-50.48	288.9377	-42.1002	12.32	  2.21	 410	 1.1120	 9431	 9351	 9366	 9298	 9525	  52	    3.413	  137.3330	 254	 236	3563	      0	   0	Simbad	053.8359	-15.9599
    1364	112170	  2	34.92	 0.28	 96.2	     	         	  1	  29358	256.93	+29.49	126.8609	-44.2926	10.53	  1.30	  84	 0.2290	 4874	 4663	 4606	 5224	 5296	   0	    0.000	    1.1970	    	    	    	      0	   0	Simbad	151.6023	-18.2795
    1365	100243	  2	34.91	 0.28	 95.9	     	         	 10	  27620	222.87	+42.89	 85.6586	-40.6235	12.15	  1.53	 354	 0.9600	 6297	 6171	 6148	 6622	 6737	 345	  162.667	   88.2670	    	    	    	      0	   0	Simbad	145.4495	+11.4086
    1366	201273	  2	34.91	 0.28	 95.9	     	         	  3	   5191	254.72	-80.89	265.6966	-14.3924	12.03	  2.24	 317	 0.8610	 9258	 9212	 9219	 9023	 9237	  79	    0.000	   63.8670	    	    	3400	      0	   0	Simbad	020.9483	-32.9654
    1367	108921	  2	34.91	 0.16	 95.9	     	         	  1	  47907	313.19	+27.79	151.9308	 -0.7334	11.25	  1.70	 159	 0.4320	 7100	 6948	 6876	 7372	 7516	   0	    0.000	    8.0670	 948	    	    	      0	   0	Simbad	203.8410	-34.2053
    1368	202279	  2	34.90	 0.28	 95.5	     	         	  2	   9745	162.98	-48.27	310.2106	-21.5996	11.62	  1.83	 221	 0.6000	 8275	 8311	 8359	 8037	 8206	  83	    0.000	   21.6000	 177	    	    	      0	   0	Simbad	038.3937	+06.4990
    1369	200718	  2	34.89	 0.35	 95.1	     	         	  4	  62765	354.71	-20.33	208.6916	 31.8068	11.72	  1.43	 242	 0.6560	 5678	 5664	 5629	 5580	 5662	 143	    0.000	   28.1330	1265	1041	4597	      0	   0	Simbad	286.3286	-42.4358
    1370	201491	  2	34.89	 0.35	 94.8	     	         	  2	3697039	231.99	-31.64	260.9062	-64.3200	11.79	  2.82	 257	 0.6970	10773	10595	10578	10806	11112	 433	    0.000	   33.8670	    	    	    	      0	   0	Simbad	079.9478	-29.1180
    1371	109516	  2	34.89	 0.16	 95.0	     	         	  1	  46839	312.49	+38.39	141.3530	  0.1203	11.16	  1.80	 147	 0.3990	 7544	 7409	 7342	 7845	 8007	   0	    0.000	    6.3330	    	    	    	      0	   0	Simbad	201.0419	-23.8735
    1372	100393	  2	34.88	 0.35	 94.6	     	         	  5	  29675	257.28	+31.14	125.6232	-42.8771	12.30	  2.29	 402	 1.0910	 8951	 8743	 8687	 9304	 9531	 400	  152.000	  129.4670	    	    	    	      0	   0	Simbad	152.9992	-17.2577
    1373	209534	  2	34.87	 0.28	 94.0	     	         	  1	  63071	009.35	-18.43	214.1608	 45.0755	11.03	  1.59	 131	 0.3560	 6471	 6518	 6498	 6322	 6428	   0	    0.000	    4.5200	    	    	    	      0	   0	Simbad	289.9596	-28.8125
    1374	200537	  2	34.85	 0.35	 93.1	     	         	  5	   4707	156.49	-77.94	281.5699	-10.1178	11.67	  1.36	 231	 0.6280	 5941	 5953	 5980	 5655	 5739	  84	    3.400	   24.6670	  88	  67	3684	      0	   0	Simbad	019.7931	-16.9156
    1375	202774	  2	34.85	 0.28	 93.1	     	         	  2	   1577	111.26	-55.70	300.8180	  8.9488	11.64	  2.01	 225	 0.6120	 8674	 8797	 8852	 8321	 8503	  24	    0.000	   22.8000	    	    	    	      0	   0	Simbad	006.2697	+06.5733
    1376	101620	  2	34.85	 0.16	 93.5	     	         	  2	  49304	318.25	+30.33	149.8972	  3.9421	11.52	  1.69	 202	 0.5480	 7069	 6936	 6866	 7334	 7475	 277	    0.000	   16.4000	 970	    	1656	      0	   0	Simbad	208.2383	-30.7054
    1377	202300	  2	34.83	 0.35	 92.3	     	         	  2	  66857	053.04	-34.80	277.0460	 48.5293	11.70	  2.29	 237	 0.6440	 9102	 9268	 9302	 8770	 8972	  80	    0.000	   26.6670	    	    	    	      0	   0	Simbad	322.4042	-00.5150
    1378	102023	  2	34.83	 0.28	 92.5	     	         	  2	  46254	315.74	+60.05	120.0502	  4.6586	11.29	  1.42	 166	 0.4490	 5759	 5682	 5633	 6076	 6173	 139	    0.000	    9.0800	 916	    	    	      0	   0	Simbad	199.2184	-02.1877
    1379	205413	  2	34.82	 0.35	 92.3	     	         	  1	  18551	271.83	-28.52	213.3797	-42.5195	11.85	  1.96	 271	 0.7350	 8382	 8158	 8107	 8465	 8654	   0	    0.000	   39.6000	    	    	    	      0	   0	Simbad	092.6330	-62.5352
    1380	101175	  2	34.82	 0.31	 92.2	     	         	  3	  32453	266.02	+36.90	126.8884	-33.6927	11.62	  1.50	 221	 0.5990	 6124	 5927	 5867	 6487	 6598	 118	    0.000	   21.4670	    	    	1648	      0	   0	Simbad	162.6811	-17.1739
    1381	100459	  2	34.82	 0.28	 92.0	     	         	  5	  50783	352.89	+63.41	112.9566	 20.9093	11.85	  1.68	 272	 0.7370	 7074	 7072	 7038	 7324	 7465	 174	   19.067	   40.0000	 998	 846	2273	      0	   0	Simbad	213.1434	+08.7122
    1382	202676	  2	34.82	 0.28	 92.0	     	         	  2	   3812	298.03	-65.92	246.6703	-13.5844	11.67	  1.77	 231	 0.6280	 7650	 7555	 7538	 7481	 7628	  32	    0.000	   24.6670	  64	    	3555	      0	   0	Simbad	016.0413	-51.0869
    1383	202732	  2	34.81	 0.35	 91.6	     	         	  2	3094480	223.63	-28.91	278.4680	-67.1420	11.53	  2.01	 204	 0.5530	 8832	 8670	 8661	 8863	 9069	  27	    0.000	   16.9330	    	    	4044	      0	   0	Simbad	080.3673	-21.4114
    1384	100361	  2	34.81	 0.31	 91.5	     	         	  6	  51794	327.39	+28.31	152.3370	 11.7950	12.08	  1.61	 332	 0.9010	 6790	 6683	 6617	 7020	 7149	 114	   11.267	   72.9330	1021	 865	1556	      0	   0	Simbad	217.6976	-29.8006
    1385	210945	  2	34.81	 0.28	 91.4	     	         	  1	  72759	100.87	-49.44	303.2334	 17.5024	10.71	  1.27	  99	 0.2680	 5299	 5452	 5511	 4935	 4999	   0	    0.000	    1.9330	1535	1257	    	      0	   0	Simbad	358.4551	+10.9477
    1386	120005	  2	34.81	 0.21	 91.4	     	         	 18	  37219	234.79	+74.98	 91.9417	 -8.5745	12.57	  1.63	 510	 1.3850	 6754	 6707	 6683	 7077	 7209	 505	  185.333	  265.3330	 811	 676	1934	      0	2453	Simbad	177.9535	+20.7649
    1387	200910	  2	34.80	 0.31	 91.1	     	         	  3	  21243	296.54	-25.98	205.4695	-21.4662	11.53	  1.27	 204	 0.5530	 5014	 4813	 4752	 5080	 5148	 357	    0.000	   16.9330	 519	    	4412	      0	   0	Simbad	112.7732	-84.1689
    1388	202776	  2	34.79	 0.35	 90.8	     	         	  2	  10246	175.76	-54.31	300.7957	-26.7129	11.52	  1.51	 202	 0.5490	 6896	 6894	 6931	 6675	 6792	  24	    0.000	   16.5330	    	    	3683	      0	   0	Simbad	040.6095	-03.2462
    1389	101001	  2	34.79	 0.31	 90.8	     	         	  3	  36580	271.27	+57.06	113.2606	-17.2844	11.83	  2.07	 266	 0.7230	 8313	 8183	 8134	 8678	 8876	 211	    0.000	   37.7330	    	    	2376	      0	   0	Simbad	176.2680	-01.6750
    1390	202083	  2	34.79	 0.28	 91.0	     	         	  2	  69429	079.24	-39.53	300.0228	 35.5190	11.31	  1.68	 168	 0.4560	 7287	 7474	 7529	 6921	 7047	 115	    0.000	    9.4930	    	    	    	      0	   0	Simbad	339.8701	+11.8948
    1391	200684	  2	34.78	 0.35	 90.2	     	         	  4	  72139	084.69	-61.23	287.7219	 16.4924	11.86	  1.55	 273	 0.7410	 6775	 6890	 6933	 6414	 6522	 179	    0.000	   40.6670	1526	1245	3697	      0	   0	Simbad	355.4913	-03.6276
    1392	111001	  2	34.76	 0.35	 89.7	     	         	  1	3081899	281.39	+42.87	129.3428	-20.6732	10.89	  1.62	 116	 0.3150	 6688	 6514	 6451	 7049	 7180	   0	    0.000	    3.1070	    	    	1775	      0	   0	Simbad	176.4932	-17.2467
    1393	106690	  2	34.76	 0.28	 89.7	     	         	  1	  46827	328.27	+70.96	108.9526	  9.5199	11.62	  1.67	 220	 0.5990	 6931	 6898	 6862	 7228	 7366	   0	    0.000	   21.3330	    	    	    	      0	   0	Simbad	201.0023	+09.7081
    1394	100924	  2	34.75	 0.35	 88.9	     	         	  3	 161002	012.27	+21.71	152.0096	 52.7756	11.80	  2.11	 259	 0.7030	 8756	 8818	 8792	 8787	 8989	 284	    0.000	   34.6670	    	    	1472	      0	   0	Simbad	254.0195	-07.0703
    1395	100663	  2	34.74	 0.31	 88.6	     	         	  4	  31051	276.69	+13.47	157.7747	-37.1852	11.72	  1.42	 242	 0.6570	 5757	 5518	 5446	 6056	 6153	 183	    0.000	   28.4000	 718	 580	1076	      0	   0	Simbad	157.4586	-42.0738
    1396	102541	  2	34.73	 0.35	 88.3	     	         	  2	 831275	345.22	+28.45	151.1498	 27.4327	11.24	  1.39	 158	 0.4290	 5741	 5697	 5644	 5906	 5998	  60	    0.000	    7.8930	    	    	1448	      0	   0	Simbad	232.2461	-21.2015
    1397	101206	  2	34.73	 0.28	 88.3	     	         	  3	  57246	023.06	+41.04	118.2868	 49.0690	11.03	  1.24	 132	 0.3570	 4828	 4915	 4899	 4920	 4984	 100	    0.000	    4.5730	    	    	1468	      0	   0	Simbad	241.9754	+10.6206
    1398	102109	  2	34.72	 0.35	 87.9	     	         	  2	4585430	312.41	+12.81	166.7000	 -3.4026	11.98	  2.56	 305	 0.8280	 9719	 9547	 9472	 9941	10200	 120	    0.000	   56.6670	    	    	    	      0	   0	Simbad	207.0312	-49.0157
    1399	201012	  2	34.72	 0.32	 88.0	     	         	  3	  18518	226.53	-17.93	273.9848	-78.3594	11.61	  1.47	 219	 0.5960	 6681	 6498	 6482	 6782	 6903	 216	    0.000	   21.0670	    	    	4408	      0	   0	Simbad	092.3240	-19.8439
    1400	201311	  2	34.72	 0.31	 87.9	     	         	  3	   4132	280.33	-80.46	262.2269	-11.9973	11.64	  1.50	 225	 0.6120	 6579	 6531	 6534	 6345	 6451	  64	    0.000	   22.8000	  71	  55	3780	      0	   0	Simbad	017.3674	-35.8632
    1401	202730	  2	34.70	 0.28	 87.1	     	         	  2	   7903	279.34	-61.28	245.7192	-23.0063	11.74	  1.39	 246	 0.6670	 5932	 5808	 5787	 5804	 5893	  27	    0.000	   29.6000	 154	 119	3932	      0	   0	Simbad	031.2129	-52.3549
    1402	101575	  2	34.68	 0.31	 86.3	     	         	  2	  48394	323.47	+53.20	127.0631	  8.7086	11.53	  1.61	 203	 0.5520	 6694	 6616	 6563	 6992	 7120	 310	    0.000	   16.8000	 953	    	    	      0	   0	Simbad	205.1032	-07.7076
    1403	201352	  2	34.68	 0.28	 86.3	     	         	  3	    378	102.28	-55.85	298.1668	 13.2725	11.35	  1.28	 174	 0.4730	 5340	 5471	 5524	 4979	 5045	  41	    0.000	   10.5600	   7	   5	    	      0	   0	Simbad	001.3929	+05.1718
    1404	100160	  2	34.68	 0.24	 86.3	     	         	  9	  17625	143.88	+19.51	 20.1586	 -3.9857	11.96	  1.14	 298	 0.8090	 4111	 4245	 4304	 4086	 4131	 175	   17.333	   52.8000	 403	 366	    	      0	   0	Simbad	085.6832	+69.3459
    1405	100126	  2	34.68	 0.19	 86.1	     	         	 10	  27509	239.87	+33.45	105.8098	-48.5018	12.28	  1.64	 397	 1.0770	 6785	 6603	 6563	 7126	 7259	 213	   62.000	  124.9330	 658	 536	    	      0	   0	Simbad	144.5678	-04.8798
    1406	102040	  2	34.67	 0.16	 86.0	     	         	  2	  28081	217.83	+45.99	 81.7109	-37.0018	11.43	  1.45	 186	 0.5050	 5924	 5816	 5797	 6241	 6344	 136	    0.000	   12.8930	 666	    	    	      0	   0	Simbad	146.8017	+15.9713
    1407	102009	  2	34.65	 0.35	 84.9	     	         	  2	  46737	314.71	+49.18	130.8408	  3.0429	11.70	  1.38	 238	 0.6470	 5525	 5419	 5360	 5837	 5927	 141	    0.000	   26.9330	    	    	1803	      0	   0	Simbad	200.7294	-12.9705
    1408	200153	  2	34.64	 0.31	 84.8	     	         	  9	   3687	130.39	-69.51	290.3783	 -3.4882	12.06	  1.33	 326	 0.8850	 5741	 5799	 5839	 5422	 5500	 316	   62.533	   69.2000	  61	  47	3690	      0	   0	Simbad	015.4821	-06.7903
    1409	101084	  2	34.63	 0.13	 84.3	     	         	  3	  19732	166.27	+20.65	 26.0397	-24.2510	11.46	  1.39	 191	 0.5200	 5851	 5899	 5942	 5917	 6009	 156	    0.000	   14.0000	 480	    	    	      0	   0	Simbad	103.1739	+50.0426
    1410	202855	  2	34.62	 0.28	 84.1	     	         	  2	  68320	031.84	-53.90	259.6785	 28.3821	11.19	  1.32	 151	 0.4110	 5308	 5385	 5400	 4995	 5061	  16	    0.000	    6.9070	1440	1175	4081	      0	   0	Simbad	333.3342	-22.2360
    1411	202764	  2	34.60	 0.35	 83.4	     	         	  2	   2601	117.81	-66.85	291.7580	  1.6929	11.40	  1.34	 182	 0.4950	 5815	 5894	 5937	 5480	 5559	  25	    0.000	   12.0530	    	    	    	      0	   0	Simbad	010.8431	-04.0585
    1412	200672	  2	34.58	 0.31	 82.4	     	         	  4	  64127	357.39	-31.37	221.4663	 29.2332	11.52	  1.41	 202	 0.5490	 5664	 5660	 5634	 5508	 5588	 198	    0.000	   16.5330	1325	    	4313	      0	   0	Simbad	301.6939	-42.7728
    1413	201380	  2	34.58	 0.31	 82.3	     	         	  3	   4228	297.12	-60.97	241.8415	-15.2610	11.44	  1.30	 188	 0.5110	 5317	 5204	 5181	 5175	 5246	  19	    0.000	   13.3330	  74	  59	4052	      0	   0	Simbad	017.8919	-55.9305
    1414	200438	  2	34.58	 0.28	 82.4	     	         	  5	   7331	152.06	-54.94	304.8763	-13.5881	11.47	  1.25	 194	 0.5270	 5312	 5368	 5417	 5032	 5099	 297	   65.467	   14.5330	 126	    	    	      0	   0	Simbad	029.1417	+04.2058
    1415	200650	  2	34.57	 0.31	 82.1	     	         	  4	  19219	242.42	-18.31	220.6075	-71.0607	12.02	  1.60	 315	 0.8550	 7231	 7012	 6978	 7362	 7504	 230	    0.000	   62.2670	 453	 398	4399	      0	   0	Simbad	098.2583	-33.9978
